file,open_time,close_time,side,pnl,strategy,magic,aligned_hits,aligned_same_dir
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 02:29:00+00:00,2009-10-07 04:00:00+00:00,sell,196.22280054143735,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 05:59:00+00:00,2009-10-07 08:24:00+00:00,buy,45.72647884364973,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 06:00:00+00:00,2009-10-07 08:22:00+00:00,buy,55.216098105613234,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 08:11:00+00:00,2009-10-07 09:33:00+00:00,buy,73.81608817424407,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 08:55:00+00:00,2009-10-07 09:17:00+00:00,buy,66.78485885402841,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 08:55:00+00:00,2009-10-07 09:33:00+00:00,buy,59.49476903187115,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 10:51:00+00:00,2009-10-07 11:08:00+00:00,buy,82.79140015477081,SMA_CROSS,2001,3,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 11:05:00+00:00,2009-10-07 13:02:00+00:00,sell,41.771437199625886,RSI_X,3301,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 11:54:00+00:00,2009-10-07 12:58:00+00:00,sell,25.26370290290637,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 11:59:00+00:00,2009-10-07 14:08:00+00:00,sell,112.68280039022936,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 13:03:00+00:00,2009-10-07 14:08:00+00:00,sell,160.4414672194789,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 13:38:00+00:00,2009-10-07 14:06:00+00:00,sell,120.13393531222584,SMA_CROSS,2001,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 14:52:00+00:00,2009-10-07 15:13:00+00:00,sell,24.0006496961594,EMA_X,3201,2,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 15:03:00+00:00,2009-10-07 15:41:00+00:00,buy,19.348185687293853,RSI_X,3301,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 16:49:00+00:00,2009-10-07 17:28:00+00:00,buy,110.54898428472194,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 17:08:00+00:00,2009-10-07 17:27:00+00:00,buy,18.16762080259663,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-07 20:38:00+00:00,2009-10-07 21:19:00+00:00,sell,205.624487793741,RSI_X,3301,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 20:49:00+00:00,2009-10-07 21:12:00+00:00,sell,65.82964659325575,SMA_CROSS,2001,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 20:49:00+00:00,2009-10-07 21:19:00+00:00,sell,69.39343318564882,EMA_X,3201,2,2
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-07 21:32:00+00:00,2009-10-08 03:21:00+00:00,buy,185.1517238311546,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-07 21:33:00+00:00,2009-10-07 22:48:00+00:00,buy,18.950586983885582,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 03:31:00+00:00,2009-10-08 04:34:00+00:00,buy,60.53040004558053,SMA_CROSS,2001,3,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-08 05:51:00+00:00,2009-10-08 07:50:00+00:00,sell,20.84032404951144,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-08 07:54:00+00:00,2009-10-08 09:30:00+00:00,sell,33.11717347225233,RSI_X,3301,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 09:31:00+00:00,2009-10-08 10:21:00+00:00,buy,90.38547486488989,SMA_CROSS,2001,1,0
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 11:05:00+00:00,2009-10-08 11:52:00+00:00,sell,19.72662314900196,SMA_CROSS,2001,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-08 11:07:00+00:00,2009-10-08 15:11:00+00:00,sell,26.46367113715839,EMA_X,3201,1,1
EURUSD_trade_audit_2009-10-01_2010-10-01 copy.csv,2009-10-08 12:40:00+00:00,2009-10-08 15:11:00+00:00,sell,79.95067379295683,RSI_X,3301,0,0
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-08 16:15:00+00:00,2009-10-08 16:18:00+00:00,sell,26.2948603276654,EMA_X,3201,5,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 16:15:00+00:00,2009-10-08 16:18:00+00:00,sell,32.52821062175072,SMA_CROSS,2001,5,2
EURUSD_trade_audit_2009-10-01_2010-10-01 copy 2.csv,2009-10-08 17:18:00+00:00,2009-10-08 17:49:00+00:00,buy,69.15110340252158,SMA_CROSS,2001,2,1
EURUSD_trade_audit_2009-10-01_2010-10-01.csv,2009-10-08 17:20:00+00:00,2009-10-08 18:19:00+00:00,buy,223.6716998280552,EMA_X,3201,2,1
